時間,收市價
2025/12/11,12.5
2025/12/12,12.85
2025/12/15,11.93
2025/12/16,10.92
2025/12/17,11.79
2025/12/18,11.83
2025/12/19,11.82
2025/12/22,12.99
2025/12/23,13.08
2025/12/24,13.46
2025/12/29,15.3
2025/12/30,16.3
2025/12/31,16.15
2026/01/02,17.5
2026/01/05,18.57
2026/01/06,19.57
2026/01/07,20.8
2026/01/08,21.68
2026/01/09,20.94
2026/01/12,21.28
2026/01/13,20.56
2026/01/14,20.74
2026/01/15,21.48
2026/01/16,21.92
2026/01/19,21.92
2026/01/20,20.56
2026/01/21,20.56
2026/01/22,21.52
2026/01/23,21.92
2026/01/26,20.62
2026/01/27,23.48
2026/01/28,28.4
2026/01/29,27.3
2026/01/30,29.6
2026/02/02,25.9
2026/02/03,29.6
2026/02/04,29.28
2026/02/05,25.94
2026/02/06,25.04
2026/02/09,27.84
2026/02/10,27.6
2026/02/11,26.78
2026/02/12,28.5
2026/02/13,27.6
2026/02/16,28.42
2026/02/20,31.78
2026/02/23,32.16
2026/02/24,35.32
2026/02/25,37.4
2026/02/26,42.8
2026/02/27,39.74
2026/03/02,36.6
2026/03/03,31.18
2026/03/04,25.08
2026/03/05,29.86
2026/03/06,28.46
2026/03/09,23.68
2026/03/10,28.9
2026/03/11,28.72
2026/03/12,28.5
2026/03/13,26.4
2026/03/16,29.96
2026/03/17,30.1
2026/03/18,35.42
2026/03/19,32.22
2026/03/20,31.76
2026/03/23,27.12
2026/03/24,30.92
2026/03/25,31.28
2026/03/26,27.38
2026/03/27,26.2
2026/03/30,23.46
2026/03/31,20.32
2026/04/01,24
2026/04/02,21.24
